-------------------------------------
Boss DS-330 Memory dump
-------------------------------------
SystemParams Zone 0x100000 (packed: 0x400000) 0x000080 (packed: 0x000100) BYTES
-------------------------------------
0x100000 (packed: 0x400000)=00040000        SystemParams Zone/SystemParams/Tune
0x100027 (packed: 0x400027)=00              SystemParams Zone/SystemParams/[32]/reserved
0x100028 (packed: 0x400028)=00              SystemParams Zone/SystemParams/[33]/reserved
0x100029 (packed: 0x400029)=00              SystemParams Zone/SystemParams/[34]/reserved
0x10002A (packed: 0x40002A)=00              SystemParams Zone/SystemParams/[35]/reserved
0x10002B (packed: 0x40002B)=00              SystemParams Zone/SystemParams/[36]/reserved
0x10002C (packed: 0x40002C)=00              SystemParams Zone/SystemParams/[37]/reserved
0x10002D (packed: 0x40002D)=00              SystemParams Zone/SystemParams/[38]/reserved
0x10002E (packed: 0x40002E)=00              SystemParams Zone/SystemParams/[39]/reserved
0x10002F (packed: 0x40002F)=00              SystemParams Zone/SystemParams/[40]/reserved
0x100030 (packed: 0x400030)=00              SystemParams Zone/SystemParams/[41]/reserved
0x100031 (packed: 0x400031)=00              SystemParams Zone/SystemParams/[42]/reserved
0x100032 (packed: 0x400032)=00              SystemParams Zone/SystemParams/[43]/reserved
0x100033 (packed: 0x400033)=00              SystemParams Zone/SystemParams/[44]/reserved
0x100034 (packed: 0x400034)=00              SystemParams Zone/SystemParams/[45]/reserved
0x100035 (packed: 0x400035)=00              SystemParams Zone/SystemParams/[46]/reserved
0x100036 (packed: 0x400036)=00              SystemParams Zone/SystemParams/[47]/reserved
0x100037 (packed: 0x400037)=00              SystemParams Zone/SystemParams/[48]/reserved
0x100038 (packed: 0x400038)=00              SystemParams Zone/SystemParams/[49]/reserved
0x100039 (packed: 0x400039)=00              SystemParams Zone/SystemParams/[50]/reserved
0x10003A (packed: 0x40003A)=00              SystemParams Zone/SystemParams/[51]/reserved
0x10003B (packed: 0x40003B)=00              SystemParams Zone/SystemParams/[52]/reserved
0x10003C (packed: 0x40003C)=00              SystemParams Zone/SystemParams/[53]/reserved
0x10003D (packed: 0x40003D)=00              SystemParams Zone/SystemParams/[54]/reserved
0x10003E (packed: 0x40003E)=00              SystemParams Zone/SystemParams/[55]/reserved
0x10003F (packed: 0x40003F)=00              SystemParams Zone/SystemParams/[56]/reserved
0x100040 (packed: 0x400040)=00              SystemParams Zone/SystemParams/[57]/reserved
0x100041 (packed: 0x400041)=00              SystemParams Zone/SystemParams/[58]/reserved
0x100042 (packed: 0x400042)=00              SystemParams Zone/SystemParams/[59]/reserved
0x100043 (packed: 0x400043)=00              SystemParams Zone/SystemParams/[60]/reserved
0x100044 (packed: 0x400044)=00              SystemParams Zone/SystemParams/[61]/reserved
0x100045 (packed: 0x400045)=00              SystemParams Zone/SystemParams/[62]/reserved
0x100046 (packed: 0x400046)=00              SystemParams Zone/SystemParams/[63]/reserved
0x100047 (packed: 0x400047)=00              SystemParams Zone/SystemParams/[64]/reserved
0x100048 (packed: 0x400048)=00              SystemParams Zone/SystemParams/[65]/reserved
0x100049 (packed: 0x400049)=00              SystemParams Zone/SystemParams/[66]/reserved
0x10004A (packed: 0x40004A)=00              SystemParams Zone/SystemParams/[67]/reserved
0x10004B (packed: 0x40004B)=00              SystemParams Zone/SystemParams/[68]/reserved
0x10004C (packed: 0x40004C)=00              SystemParams Zone/SystemParams/[69]/reserved
0x10004D (packed: 0x40004D)=00              SystemParams Zone/SystemParams/[70]/reserved
0x10004E (packed: 0x40004E)=00              SystemParams Zone/SystemParams/[71]/reserved
0x10004F (packed: 0x40004F)=00              SystemParams Zone/SystemParams/[72]/reserved
0x100050 (packed: 0x400050)=00              SystemParams Zone/SystemParams/[73]/reserved
0x100051 (packed: 0x400051)=00              SystemParams Zone/SystemParams/[74]/reserved
0x100052 (packed: 0x400052)=00              SystemParams Zone/SystemParams/[75]/reserved
0x100053 (packed: 0x400053)=00              SystemParams Zone/SystemParams/[76]/reserved
0x100054 (packed: 0x400054)=00              SystemParams Zone/SystemParams/[77]/reserved
0x100055 (packed: 0x400055)=00              SystemParams Zone/SystemParams/[78]/reserved
0x100056 (packed: 0x400056)=00              SystemParams Zone/SystemParams/[79]/reserved
0x100057 (packed: 0x400057)=00              SystemParams Zone/SystemParams/[80]/reserved
0x100058 (packed: 0x400058)=00              SystemParams Zone/SystemParams/[81]/reserved
0x100059 (packed: 0x400059)=00              SystemParams Zone/SystemParams/[82]/reserved
0x10005A (packed: 0x40005A)=00              SystemParams Zone/SystemParams/[83]/reserved
0x10005B (packed: 0x40005B)=00              SystemParams Zone/SystemParams/[84]/reserved
0x10005C (packed: 0x40005C)=00              SystemParams Zone/SystemParams/[85]/reserved
0x10005D (packed: 0x40005D)=00              SystemParams Zone/SystemParams/[86]/reserved
0x10005E (packed: 0x40005E)=00              SystemParams Zone/SystemParams/[87]/reserved
0x10005F (packed: 0x40005F)=00              SystemParams Zone/SystemParams/[88]/reserved
0x100060 (packed: 0x400060)=00              SystemParams Zone/SystemParams/[89]/reserved
0x100061 (packed: 0x400061)=00              SystemParams Zone/SystemParams/[90]/reserved
0x100062 (packed: 0x400062)=00              SystemParams Zone/SystemParams/[91]/reserved
0x100063 (packed: 0x400063)=00              SystemParams Zone/SystemParams/[92]/reserved
0x100064 (packed: 0x400064)=00              SystemParams Zone/SystemParams/[93]/reserved
0x100065 (packed: 0x400065)=00              SystemParams Zone/SystemParams/[94]/reserved
0x100066 (packed: 0x400066)=00              SystemParams Zone/SystemParams/[95]/reserved
0x100067 (packed: 0x400067)=00              SystemParams Zone/SystemParams/[96]/reserved
0x100068 (packed: 0x400068)=00              SystemParams Zone/SystemParams/[97]/reserved
0x100069 (packed: 0x400069)=00              SystemParams Zone/SystemParams/[98]/reserved
0x10006A (packed: 0x40006A)=00              SystemParams Zone/SystemParams/[99]/reserved
0x10006B (packed: 0x40006B)=00              SystemParams Zone/SystemParams/[100]/reserved
0x10006C (packed: 0x40006C)=00              SystemParams Zone/SystemParams/[101]/reserved
0x10006D (packed: 0x40006D)=00              SystemParams Zone/SystemParams/[102]/reserved
0x10006E (packed: 0x40006E)=00              SystemParams Zone/SystemParams/[103]/reserved
0x10006F (packed: 0x40006F)=00              SystemParams Zone/SystemParams/[104]/reserved
0x100070 (packed: 0x400070)=00              SystemParams Zone/SystemParams/[105]/reserved
0x100071 (packed: 0x400071)=00              SystemParams Zone/SystemParams/[106]/reserved
0x100072 (packed: 0x400072)=00              SystemParams Zone/SystemParams/[107]/reserved
0x100073 (packed: 0x400073)=00              SystemParams Zone/SystemParams/[108]/reserved
0x100074 (packed: 0x400074)=00              SystemParams Zone/SystemParams/[109]/reserved
0x100075 (packed: 0x400075)=00              SystemParams Zone/SystemParams/[110]/reserved
0x100076 (packed: 0x400076)=00              SystemParams Zone/SystemParams/[111]/reserved
0x100077 (packed: 0x400077)=00              SystemParams Zone/SystemParams/[112]/reserved
0x100078 (packed: 0x400078)=00              SystemParams Zone/SystemParams/[113]/reserved
0x100079 (packed: 0x400079)=00              SystemParams Zone/SystemParams/[114]/reserved
0x10007A (packed: 0x40007A)=00              SystemParams Zone/SystemParams/[115]/reserved
0x10007B (packed: 0x40007B)=00              SystemParams Zone/SystemParams/[116]/reserved
0x10007C (packed: 0x40007C)=00              SystemParams Zone/SystemParams/[117]/reserved
0x10007D (packed: 0x40007D)=00              SystemParams Zone/SystemParams/[118]/reserved
0x10007E (packed: 0x40007E)=00              SystemParams Zone/SystemParams/[119]/reserved
0x10007F (packed: 0x40007F)=42 ???          SystemParams Zone/SystemParams/GS Init
-------------------------------------
CommonPatchParams Zone 0x100080 (packed: 0x400100) 0x000800 (packed: 0x001000) BYTES
-------------------------------------
0x100080 (packed: 0x400100)="Oh! my GOD !!   " CommonPatchParams Zone/CommonPatchParams/Name
0x100090 (packed: 0x400110)=00              CommonPatchParams Zone/CommonPatchParams/block[0]/Partial
0x100091 (packed: 0x400111)=00              CommonPatchParams Zone/CommonPatchParams/block[1]/Partial
0x100092 (packed: 0x400112)=00              CommonPatchParams Zone/CommonPatchParams/block[2]/Partial
0x100093 (packed: 0x400113)=00              CommonPatchParams Zone/CommonPatchParams/block[3]/Partial
0x100094 (packed: 0x400114)=00              CommonPatchParams Zone/CommonPatchParams/block[4]/Partial
0x100095 (packed: 0x400115)=00              CommonPatchParams Zone/CommonPatchParams/block[5]/Partial
0x100096 (packed: 0x400116)=00              CommonPatchParams Zone/CommonPatchParams/block[6]/Partial
0x100097 (packed: 0x400117)=00              CommonPatchParams Zone/CommonPatchParams/block[7]/Partial
0x100098 (packed: 0x400118)=00              CommonPatchParams Zone/CommonPatchParams/block[8]/Partial
0x100099 (packed: 0x400119)=00              CommonPatchParams Zone/CommonPatchParams/block[9]/Partial
0x10009A (packed: 0x40011A)=00              CommonPatchParams Zone/CommonPatchParams/block[10]/Partial
0x10009B (packed: 0x40011B)=00              CommonPatchParams Zone/CommonPatchParams/block[11]/Partial
0x10009C (packed: 0x40011C)=00              CommonPatchParams Zone/CommonPatchParams/block[12]/Partial
0x10009D (packed: 0x40011D)=00              CommonPatchParams Zone/CommonPatchParams/block[13]/Partial
0x10009E (packed: 0x40011E)=00              CommonPatchParams Zone/CommonPatchParams/block[14]/Partial
0x10009F (packed: 0x40011F)=00              CommonPatchParams Zone/CommonPatchParams/block[15]/Partial
0x1000A0 (packed: 0x400120)=00              CommonPatchParams Zone/CommonPatchParams/[0]/reserved
0x1000A1 (packed: 0x400121)=00              CommonPatchParams Zone/CommonPatchParams/[1]/reserved
0x1000A2 (packed: 0x400122)=00              CommonPatchParams Zone/CommonPatchParams/[2]/reserved
0x1000A3 (packed: 0x400123)=00              CommonPatchParams Zone/CommonPatchParams/[3]/reserved
0x1000A4 (packed: 0x400124)=00              CommonPatchParams Zone/CommonPatchParams/[4]/reserved
0x1000A5 (packed: 0x400125)=00              CommonPatchParams Zone/CommonPatchParams/[5]/reserved
0x1000A6 (packed: 0x400126)=00              CommonPatchParams Zone/CommonPatchParams/[6]/reserved
0x1000A7 (packed: 0x400127)=00              CommonPatchParams Zone/CommonPatchParams/[7]/reserved
0x1000A8 (packed: 0x400128)=00              CommonPatchParams Zone/CommonPatchParams/[8]/reserved
0x1000A9 (packed: 0x400129)=00              CommonPatchParams Zone/CommonPatchParams/[9]/reserved
0x1000AA (packed: 0x40012A)=00              CommonPatchParams Zone/CommonPatchParams/[10]/reserved
0x1000AB (packed: 0x40012B)=00              CommonPatchParams Zone/CommonPatchParams/[11]/reserved
0x1000AC (packed: 0x40012C)=00              CommonPatchParams Zone/CommonPatchParams/[12]/reserved
0x1000AD (packed: 0x40012D)=00              CommonPatchParams Zone/CommonPatchParams/[13]/reserved
0x1000AE (packed: 0x40012E)=00              CommonPatchParams Zone/CommonPatchParams/[14]/reserved
0x1000AF (packed: 0x40012F)=00              CommonPatchParams Zone/CommonPatchParams/[15]/reserved
0x1000B0 (packed: 0x400130)=04 Hall 2       CommonPatchParams Zone/CommonPatchParams/Reverb Type
0x1000B1 (packed: 0x400131)=01              CommonPatchParams Zone/CommonPatchParams/Reverb Character
0x1000B2 (packed: 0x400132)=00              CommonPatchParams Zone/CommonPatchParams/Reverb Cutoff
0x1000B3 (packed: 0x400133)=40              CommonPatchParams Zone/CommonPatchParams/Reverb Level
0x1000B4 (packed: 0x400134)=40              CommonPatchParams Zone/CommonPatchParams/Reverb Time
0x1000B5 (packed: 0x400135)=00              CommonPatchParams Zone/CommonPatchParams/Reverb Delay
0x1000B6 (packed: 0x400136)=00              CommonPatchParams Zone/CommonPatchParams/Reverb To Chorus
0x1000B7 (packed: 0x400137)=00              CommonPatchParams Zone/CommonPatchParams/[0]/reserved
0x1000B8 (packed: 0x400138)=02 Chorus 3     CommonPatchParams Zone/CommonPatchParams/Chorus Type
0x1000B9 (packed: 0x400139)=00              CommonPatchParams Zone/CommonPatchParams/Chorus Cutoff
0x1000BA (packed: 0x40013A)=40              CommonPatchParams Zone/CommonPatchParams/Chorus Level
0x1000BB (packed: 0x40013B)=08              CommonPatchParams Zone/CommonPatchParams/Chorus Feedback
0x1000BC (packed: 0x40013C)=50              CommonPatchParams Zone/CommonPatchParams/Chorus Delay
0x1000BD (packed: 0x40013D)=03              CommonPatchParams Zone/CommonPatchParams/Chorus Rate
0x1000BE (packed: 0x40013E)=13              CommonPatchParams Zone/CommonPatchParams/Chorus Depth
0x1000BF (packed: 0x40013F)=00              CommonPatchParams Zone/CommonPatchParams/Chorus To Reverb
-------------------------------------
PatchParams Zone 0x100800 (packed: 0x401000) 0x001000 (packed: 0x002000) BYTES
-------------------------------------
0x100800 (packed: 0x401000)=0000            PatchParams Zone/block[0]/PatchParams/Tone Command and Program Change
0x100802 (packed: 0x401002)=09              PatchParams Zone/block[0]/PatchParams/Channel
0x100803 (packed: 0x401003)=01 On           PatchParams Zone/block[0]/PatchParams/Rx Pitch Bend
0x100804 (packed: 0x401004)=01 On           PatchParams Zone/block[0]/PatchParams/Rx Channel Aftertouch
0x100805 (packed: 0x401005)=01 On           PatchParams Zone/block[0]/PatchParams/Rx Prorgram Change
0x100806 (packed: 0x401006)=01 On           PatchParams Zone/block[0]/PatchParams/Rx Command Change
0x100807 (packed: 0x401007)=01 On           PatchParams Zone/block[0]/PatchParams/Rx Polyphonic Aftertouch
0x100808 (packed: 0x401008)=01 On           PatchParams Zone/block[0]/PatchParams/Rx Note Message
0x100809 (packed: 0x401009)=01 On           PatchParams Zone/block[0]/PatchParams/Rx RPN
0x10080A (packed: 0x40100A)=01 On           PatchParams Zone/block[0]/PatchParams/Rx NRPN
0x10080B (packed: 0x40100B)=01 On           PatchParams Zone/block[0]/PatchParams/Rx Modulation
0x10080C (packed: 0x40100C)=01 On           PatchParams Zone/block[0]/PatchParams/Rx Volume
0x10080D (packed: 0x40100D)=01 On           PatchParams Zone/block[0]/PatchParams/Rx Panning
0x10080E (packed: 0x40100E)=01 On           PatchParams Zone/block[0]/PatchParams/Rx Expression
0x10080F (packed: 0x40100F)=01 On           PatchParams Zone/block[0]/PatchParams/Rx Sustain
0x100810 (packed: 0x401010)=01 On           PatchParams Zone/block[0]/PatchParams/Rx Portamento
0x100811 (packed: 0x401011)=01 On           PatchParams Zone/block[0]/PatchParams/Rx Sostenuto
0x100812 (packed: 0x401012)=01 On           PatchParams Zone/block[0]/PatchParams/Rx Soft Pedal
0x100813 (packed: 0x401013)=01              PatchParams Zone/block[0]/PatchParams/Mono Poly Mode
0x100814 (packed: 0x401014)=00              PatchParams Zone/block[0]/PatchParams/Assignation Mode
0x100815 (packed: 0x401015)=01              PatchParams Zone/block[0]/PatchParams/Drum Map
0x100816 (packed: 0x401016)=40              PatchParams Zone/block[0]/PatchParams/Pitch Coarse
0x100817 (packed: 0x401017)=0800            PatchParams Zone/block[0]/PatchParams/Pitch Fine
0x100819 (packed: 0x401019)=64              PatchParams Zone/block[0]/PatchParams/Level
0x10081A (packed: 0x40101A)=40              PatchParams Zone/block[0]/PatchParams/Velocity
0x10081B (packed: 0x40101B)=40              PatchParams Zone/block[0]/PatchParams/Velocity Shift
0x10081C (packed: 0x40101C)=40              PatchParams Zone/block[0]/PatchParams/Panning
0x10081D (packed: 0x40101D)=00              PatchParams Zone/block[0]/PatchParams/Note range low
0x10081E (packed: 0x40101E)=7F              PatchParams Zone/block[0]/PatchParams/Note range high
0x10081F (packed: 0x40101F)=10              PatchParams Zone/block[0]/PatchParams/CC1
0x100820 (packed: 0x401020)=11              PatchParams Zone/block[0]/PatchParams/CC2
0x100821 (packed: 0x401021)=00              PatchParams Zone/block[0]/PatchParams/Chorus Level
0x100822 (packed: 0x401022)=28              PatchParams Zone/block[0]/PatchParams/Reverb Level
0x100823 (packed: 0x401023)=00              PatchParams Zone/block[0]/PatchParams/[0]/reserved
0x100824 (packed: 0x401024)=00              PatchParams Zone/block[0]/PatchParams/[1]/reserved
0x100825 (packed: 0x401025)=00              PatchParams Zone/block[0]/PatchParams/[2]/reserved
0x100826 (packed: 0x401026)=00              PatchParams Zone/block[0]/PatchParams/[3]/reserved
0x100827 (packed: 0x401027)=00              PatchParams Zone/block[0]/PatchParams/[4]/reserved
0x100828 (packed: 0x401028)=00              PatchParams Zone/block[0]/PatchParams/[5]/reserved
0x100829 (packed: 0x401029)=00              PatchParams Zone/block[0]/PatchParams/[6]/reserved
0x10082A (packed: 0x40102A)=00              PatchParams Zone/block[0]/PatchParams/[7]/reserved
0x10082B (packed: 0x40102B)=00              PatchParams Zone/block[0]/PatchParams/[8]/reserved
0x10082C (packed: 0x40102C)=00              PatchParams Zone/block[0]/PatchParams/[9]/reserved
0x10082D (packed: 0x40102D)=00              PatchParams Zone/block[0]/PatchParams/[10]/reserved
0x10082E (packed: 0x40102E)=00              PatchParams Zone/block[0]/PatchParams/[11]/reserved
0x10082F (packed: 0x40102F)=00              PatchParams Zone/block[0]/PatchParams/[12]/reserved
0x100830 (packed: 0x401030)=40              PatchParams Zone/block[0]/PatchParams/ToneParams/Vibrato Rate
0x100831 (packed: 0x401031)=40              PatchParams Zone/block[0]/PatchParams/ToneParams/Vibrato Depth
0x100832 (packed: 0x401032)=40              PatchParams Zone/block[0]/PatchParams/ToneParams/TVF Cutoff
0x100833 (packed: 0x401033)=40              PatchParams Zone/block[0]/PatchParams/ToneParams/TVF Resonance
0x100834 (packed: 0x401034)=40              PatchParams Zone/block[0]/PatchParams/ToneParams/Attack
0x100835 (packed: 0x401035)=40              PatchParams Zone/block[0]/PatchParams/ToneParams/Decay
0x100836 (packed: 0x401036)=40              PatchParams Zone/block[0]/PatchParams/ToneParams/Release
0x100837 (packed: 0x401037)=40              PatchParams Zone/block[0]/PatchParams/ToneParams/Vibrato Delay
0x100838 (packed: 0x401038)=00              PatchParams Zone/block[0]/PatchParams/[0]/reserved
0x100839 (packed: 0x401039)=00              PatchParams Zone/block[0]/PatchParams/[1]/reserved
0x10083A (packed: 0x40103A)=00              PatchParams Zone/block[0]/PatchParams/[2]/reserved
0x10083B (packed: 0x40103B)=00              PatchParams Zone/block[0]/PatchParams/[3]/reserved
0x10083C (packed: 0x40103C)=00              PatchParams Zone/block[0]/PatchParams/[4]/reserved
0x10083D (packed: 0x40103D)=00              PatchParams Zone/block[0]/PatchParams/[5]/reserved
0x10083E (packed: 0x40103E)=00              PatchParams Zone/block[0]/PatchParams/[6]/reserved
0x10083F (packed: 0x40103F)=00              PatchParams Zone/block[0]/PatchParams/[7]/reserved
0x100840 (packed: 0x401040)=404040404040404040404040 PatchParams Zone/block[0]/PatchParams/Fine Tune
0x100880 (packed: 0x401100)=0007            PatchParams Zone/block[1]/PatchParams/Tone Command and Program Change
0x100882 (packed: 0x401102)=00              PatchParams Zone/block[1]/PatchParams/Channel
0x100883 (packed: 0x401103)=01 On           PatchParams Zone/block[1]/PatchParams/Rx Pitch Bend
0x100884 (packed: 0x401104)=01 On           PatchParams Zone/block[1]/PatchParams/Rx Channel Aftertouch
0x100885 (packed: 0x401105)=01 On           PatchParams Zone/block[1]/PatchParams/Rx Prorgram Change
0x100886 (packed: 0x401106)=01 On           PatchParams Zone/block[1]/PatchParams/Rx Command Change
0x100887 (packed: 0x401107)=01 On           PatchParams Zone/block[1]/PatchParams/Rx Polyphonic Aftertouch
0x100888 (packed: 0x401108)=01 On           PatchParams Zone/block[1]/PatchParams/Rx Note Message
0x100889 (packed: 0x401109)=01 On           PatchParams Zone/block[1]/PatchParams/Rx RPN
0x10088A (packed: 0x40110A)=01 On           PatchParams Zone/block[1]/PatchParams/Rx NRPN
0x10088B (packed: 0x40110B)=01 On           PatchParams Zone/block[1]/PatchParams/Rx Modulation
0x10088C (packed: 0x40110C)=01 On           PatchParams Zone/block[1]/PatchParams/Rx Volume
0x10088D (packed: 0x40110D)=01 On           PatchParams Zone/block[1]/PatchParams/Rx Panning
0x10088E (packed: 0x40110E)=01 On           PatchParams Zone/block[1]/PatchParams/Rx Expression
0x10088F (packed: 0x40110F)=01 On           PatchParams Zone/block[1]/PatchParams/Rx Sustain
0x100890 (packed: 0x401110)=01 On           PatchParams Zone/block[1]/PatchParams/Rx Portamento
0x100891 (packed: 0x401111)=01 On           PatchParams Zone/block[1]/PatchParams/Rx Sostenuto
0x100892 (packed: 0x401112)=01 On           PatchParams Zone/block[1]/PatchParams/Rx Soft Pedal
0x100893 (packed: 0x401113)=01              PatchParams Zone/block[1]/PatchParams/Mono Poly Mode
0x100894 (packed: 0x401114)=01              PatchParams Zone/block[1]/PatchParams/Assignation Mode
0x100895 (packed: 0x401115)=00              PatchParams Zone/block[1]/PatchParams/Drum Map
0x100896 (packed: 0x401116)=40              PatchParams Zone/block[1]/PatchParams/Pitch Coarse
0x100897 (packed: 0x401117)=0800            PatchParams Zone/block[1]/PatchParams/Pitch Fine
0x100899 (packed: 0x401119)=64              PatchParams Zone/block[1]/PatchParams/Level
0x10089A (packed: 0x40111A)=40              PatchParams Zone/block[1]/PatchParams/Velocity
0x10089B (packed: 0x40111B)=40              PatchParams Zone/block[1]/PatchParams/Velocity Shift
0x10089C (packed: 0x40111C)=40              PatchParams Zone/block[1]/PatchParams/Panning
0x10089D (packed: 0x40111D)=00              PatchParams Zone/block[1]/PatchParams/Note range low
0x10089E (packed: 0x40111E)=7F              PatchParams Zone/block[1]/PatchParams/Note range high
0x10089F (packed: 0x40111F)=10              PatchParams Zone/block[1]/PatchParams/CC1
0x1008A0 (packed: 0x401120)=11              PatchParams Zone/block[1]/PatchParams/CC2
0x1008A1 (packed: 0x401121)=28              PatchParams Zone/block[1]/PatchParams/Chorus Level
0x1008A2 (packed: 0x401122)=28              PatchParams Zone/block[1]/PatchParams/Reverb Level
0x1008A3 (packed: 0x401123)=00              PatchParams Zone/block[1]/PatchParams/[0]/reserved
0x1008A4 (packed: 0x401124)=00              PatchParams Zone/block[1]/PatchParams/[1]/reserved
0x1008A5 (packed: 0x401125)=00              PatchParams Zone/block[1]/PatchParams/[2]/reserved
0x1008A6 (packed: 0x401126)=00              PatchParams Zone/block[1]/PatchParams/[3]/reserved
0x1008A7 (packed: 0x401127)=00              PatchParams Zone/block[1]/PatchParams/[4]/reserved
0x1008A8 (packed: 0x401128)=00              PatchParams Zone/block[1]/PatchParams/[5]/reserved
0x1008A9 (packed: 0x401129)=00              PatchParams Zone/block[1]/PatchParams/[6]/reserved
0x1008AA (packed: 0x40112A)=00              PatchParams Zone/block[1]/PatchParams/[7]/reserved
0x1008AB (packed: 0x40112B)=00              PatchParams Zone/block[1]/PatchParams/[8]/reserved
0x1008AC (packed: 0x40112C)=00              PatchParams Zone/block[1]/PatchParams/[9]/reserved
0x1008AD (packed: 0x40112D)=00              PatchParams Zone/block[1]/PatchParams/[10]/reserved
0x1008AE (packed: 0x40112E)=00              PatchParams Zone/block[1]/PatchParams/[11]/reserved
0x1008AF (packed: 0x40112F)=00              PatchParams Zone/block[1]/PatchParams/[12]/reserved
0x1008B0 (packed: 0x401130)=40              PatchParams Zone/block[1]/PatchParams/ToneParams/Vibrato Rate
0x1008B1 (packed: 0x401131)=40              PatchParams Zone/block[1]/PatchParams/ToneParams/Vibrato Depth
0x1008B2 (packed: 0x401132)=40              PatchParams Zone/block[1]/PatchParams/ToneParams/TVF Cutoff
0x1008B3 (packed: 0x401133)=40              PatchParams Zone/block[1]/PatchParams/ToneParams/TVF Resonance
0x1008B4 (packed: 0x401134)=40              PatchParams Zone/block[1]/PatchParams/ToneParams/Attack
0x1008B5 (packed: 0x401135)=40              PatchParams Zone/block[1]/PatchParams/ToneParams/Decay
0x1008B6 (packed: 0x401136)=40              PatchParams Zone/block[1]/PatchParams/ToneParams/Release
0x1008B7 (packed: 0x401137)=40              PatchParams Zone/block[1]/PatchParams/ToneParams/Vibrato Delay
0x1008B8 (packed: 0x401138)=00              PatchParams Zone/block[1]/PatchParams/[0]/reserved
0x1008B9 (packed: 0x401139)=00              PatchParams Zone/block[1]/PatchParams/[1]/reserved
0x1008BA (packed: 0x40113A)=00              PatchParams Zone/block[1]/PatchParams/[2]/reserved
0x1008BB (packed: 0x40113B)=00              PatchParams Zone/block[1]/PatchParams/[3]/reserved
0x1008BC (packed: 0x40113C)=00              PatchParams Zone/block[1]/PatchParams/[4]/reserved
0x1008BD (packed: 0x40113D)=00              PatchParams Zone/block[1]/PatchParams/[5]/reserved
0x1008BE (packed: 0x40113E)=00              PatchParams Zone/block[1]/PatchParams/[6]/reserved
0x1008BF (packed: 0x40113F)=00              PatchParams Zone/block[1]/PatchParams/[7]/reserved
0x1008C0 (packed: 0x401140)=404040404040404040404040 PatchParams Zone/block[1]/PatchParams/Fine Tune
0x100900 (packed: 0x401200)=0000            PatchParams Zone/block[2]/PatchParams/Tone Command and Program Change
