0-0-0 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Piano 1, category=null]
0-0-31 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Gt.Harmonics, category=null]
0-0-32 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Acoustic Bs., category=null]
0-0-33 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Fingered Bs., category=null]
0-0-34 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Picked Bass, category=null]
0-0-35 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Fretless Bs., category=null]
0-0-36 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Slap Bass 1, category=null]
0-0-37 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Slap Bass 2, category=null]
0-0-38 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Synth Bass 1, category=null]
0-0-39 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Synth Bass 2, category=null]
0-0-40 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Violin, category=null]
0-0-41 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Viola, category=null]
0-0-42 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Cello, category=null]
0-0-43 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Contrabass, category=null]
0-0-44 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Tremolo Str, category=null]
0-0-45 MidiPresetIdentity[deviceMode=null, bankName=$0, name=PizzicatoStr, category=null]
0-0-46 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Harp, category=null]
0-0-47 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Timpani, category=null]
0-0-48 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Strings, category=null]
0-0-49 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Slow Strings, category=null]
0-0-50 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Syn.Strings1, category=null]
0-0-51 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Syn.Strings2, category=null]
0-0-52 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Choir Aahs, category=null]
0-0-53 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Voice Oohs, category=null]
0-0-54 MidiPresetIdentity[deviceMode=null, bankName=$0, name=SynVox, category=null]
0-0-55 MidiPresetIdentity[deviceMode=null, bankName=$0, name=OrchestraHit, category=null]
0-0-56 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Trumpet, category=null]
0-0-57 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Trombone, category=null]
0-0-58 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Tuba, category=null]
0-0-59 MidiPresetIdentity[deviceMode=null, bankName=$0, name=MutedTrumpet, category=null]
0-0-60 MidiPresetIdentity[deviceMode=null, bankName=$0, name=French Horns, category=null]
0-0-61 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Brass 1, category=null]
0-0-62 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Synth Brass1, category=null]
0-0-63 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Synth Brass2, category=null]
0-0-64 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Soprano Sax, category=null]
0-0-65 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Alto Sax, category=null]
0-0-66 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Tenor Sax, category=null]
0-0-67 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Baritone Sax, category=null]
0-0-68 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Oboe, category=null]
0-0-69 MidiPresetIdentity[deviceMode=null, bankName=$0, name=English Horn, category=null]
0-0-70 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Bassoon, category=null]
0-0-71 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Clarinet, category=null]
0-0-72 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Piccolo, category=null]
0-0-73 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Rlute, category=null]
0-0-74 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Recorder, category=null]
0-0-75 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Pan Flute, category=null]
0-0-76 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Bottle Blow, category=null]
0-0-77 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Shakuhachi, category=null]
0-0-78 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Whistle, category=null]
0-0-79 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Ocarina, category=null]
0-0-80 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Square Wave, category=null]
0-0-81 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Saw Wave, category=null]
0-0-82 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Syn.Calliope, category=null]
0-0-83 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Chiffer Lead, category=null]
0-0-84 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Charang, category=null]
0-0-85 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Solo Vox, category=null]
0-0-86 MidiPresetIdentity[deviceMode=null, bankName=$0, name=5th Saw Wave, category=null]
0-0-87 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Bass & Lead, category=null]
0-0-88 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Fantasia, category=null]
0-0-89 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Warm Pad, category=null]
0-0-90 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Polysynth, category=null]
0-0-91 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Space Voice, category=null]
0-0-92 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Bowed Glass, category=null]
0-0-93 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Metal Pad, category=null]
0-0-94 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Halo Pad, category=null]
0-0-95 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Sweep Pad, category=null]
0-0-96 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Ice Rain, category=null]
0-0-97 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Soundtrack, category=null]
0-0-98 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Crystal, category=null]
0-0-99 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Atmosphere, category=null]
0-0-100 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Brightness, category=null]
0-0-101 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Goblin, category=null]
0-0-102 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Echo Drops, category=null]
0-0-103 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Star Theme, category=null]
0-0-104 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Sitar, category=null]
0-0-105 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Banjo, category=null]
0-0-106 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Shamisen, category=null]
0-0-107 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Koto, category=null]
0-0-108 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Kalimba, category=null]
0-0-109 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Bagpipe, category=null]
0-0-110 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Fiddle, category=null]
0-0-111 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Shanai, category=null]
0-0-112 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Tinkle Bell, category=null]
0-0-113 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Agogo, category=null]
0-0-114 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Steel Drums, category=null]
0-0-115 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Woodblock, category=null]
0-0-116 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Taiko, category=null]
0-0-117 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Melo. Tom 1, category=null]
0-0-118 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Synth Drum, category=null]
0-0-119 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Reverse Cym., category=null]
0-0-120 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Gt.FretNoise, category=null]
0-0-121 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Breath Noise, category=null]
0-0-122 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Seashore, category=null]
0-0-123 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Bird, category=null]
0-0-124 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Telephone 1, category=null]
0-0-125 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Helicopter, category=null]
0-0-126 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Applause, category=null]
0-0-127 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Gun Shot, category=null]
1-0-2 MidiPresetIdentity[deviceMode=null, bankName=$100, name=EG+Rhodes 1, category=null]
1-0-11 MidiPresetIdentity[deviceMode=null, bankName=$100, name=hard Vibe, category=null]
1-0-15 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Santur 2, category=null]
1-0-16 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Organ 101, category=null]
1-0-17 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Organ 201, category=null]
1-0-22 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Harmonica 2, category=null]
1-0-26 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Mellow Gt., category=null]
1-0-28 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Muted Dis.Gt, category=null]
1-0-30 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Dist. Gt2, category=null]
1-0-33 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Fingered Bs2, category=null]
1-0-35 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Fretless Bs2, category=null]
1-0-38 MidiPresetIdentity[deviceMode=null, bankName=$100, name=SynthBass101, category=null]
1-0-39 MidiPresetIdentity[deviceMode=null, bankName=$100, name=SynthBass201, category=null]
1-0-48 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Strings 2, category=null]
1-0-49 MidiPresetIdentity[deviceMode=null, bankName=$100, name=SlowStrings2, category=null]
1-0-50 MidiPresetIdentity[deviceMode=null, bankName=$100, name=OB Strings, category=null]
1-0-56 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Trumpet 2, category=null]
1-0-57 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Trombone 2, category=null]
1-0-58 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Tuba 2, category=null]
1-0-60 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Fr.Horn 2, category=null]
1-0-62 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Polly Brass, category=null]
1-0-63 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Soft Brass, category=null]
1-0-80 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Square, category=null]
1-0-81 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Saw Wave, category=null]
1-0-82 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Vent Synth, category=null]
1-0-86 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Big Fives, category=null]
1-0-87 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Big & Raw, category=null]
1-0-88 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Fantasia 2, category=null]
1-0-89 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Thick Pad, category=null]
1-0-90 MidiPresetIdentity[deviceMode=null, bankName=$100, name=80's PolySyn, category=null]
1-0-91 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Heaven II, category=null]
1-0-93 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Tine Pad, category=null]
1-0-95 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Polar Pad, category=null]
1-0-96 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Harmo Rain, category=null]
1-0-97 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Ancestral, category=null]
1-0-98 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Syn Mallet, category=null]
1-0-99 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Warm Atmos, category=null]
1-0-101 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Goblinson, category=null]
1-0-102 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Echo Bell, category=null]
1-0-103 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Star Theme 2, category=null]
1-0-104 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Sitar 2, category=null]
1-0-105 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Muted Banjo, category=null]
1-0-106 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Tsugaru, category=null]
1-0-111 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Shanai 2, category=null]
1-0-117 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Real Tom, category=null]
1-0-119 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Reverse Cym2, category=null]
1-0-120 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Gt.Cut Noise, category=null]
1-0-121 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Fl.Key Click, category=null]
1-0-122 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Rain, category=null]
1-0-123 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Dog, category=null]
1-0-124 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Telephone 2, category=null]
1-0-125 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Car-Engine, category=null]
1-0-126 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Laughing, category=null]
1-0-127 MidiPresetIdentity[deviceMode=null, bankName=$100, name=Machine Gun, category=null]
2-0-2 MidiPresetIdentity[deviceMode=null, bankName=$200, name=EG+Rhodes 2, category=null]
2-0-30 MidiPresetIdentity[deviceMode=null, bankName=$200, name=Dazed guitar, category=null]
2-0-33 MidiPresetIdentity[deviceMode=null, bankName=$200, name=Jazz Bass, category=null]
2-0-35 MidiPresetIdentity[deviceMode=null, bankName=$200, name=Fretless Bs3, category=null]
2-0-39 MidiPresetIdentity[deviceMode=null, bankName=$200, name=Modular Bass, category=null]
2-0-80 MidiPresetIdentity[deviceMode=null, bankName=$200, name=Hollow Mini, category=null]
2-0-81 MidiPresetIdentity[deviceMode=null, bankName=$200, name=Pulse Saw, category=null]
2-0-82 MidiPresetIdentity[deviceMode=null, bankName=$200, name=Pure PanLead, category=null]
2-0-87 MidiPresetIdentity[deviceMode=null, bankName=$200, name=Fat & Perky, category=null]
2-0-89 MidiPresetIdentity[deviceMode=null, bankName=$200, name=Horn Pad, category=null]
2-0-93 MidiPresetIdentity[deviceMode=null, bankName=$200, name=Panner Pad, category=null]
2-0-96 MidiPresetIdentity[deviceMode=null, bankName=$200, name=African wood, category=null]
2-0-97 MidiPresetIdentity[deviceMode=null, bankName=$200, name=Prologue, category=null]
2-0-98 MidiPresetIdentity[deviceMode=null, bankName=$200, name=Soft Crystal, category=null]
2-0-99 MidiPresetIdentity[deviceMode=null, bankName=$200, name=Nylon Harp, category=null]
2-0-101 MidiPresetIdentity[deviceMode=null, bankName=$200, name=50' Sci-Fi, category=null]
2-0-102 MidiPresetIdentity[deviceMode=null, bankName=$200, name=Echo Pan, category=null]
2-0-104 MidiPresetIdentity[deviceMode=null, bankName=$200, name=Detune Sitar, category=null]
2-0-120 MidiPresetIdentity[deviceMode=null, bankName=$200, name=String Slap, category=null]
2-0-122 MidiPresetIdentity[deviceMode=null, bankName=$200, name=Thunder, category=null]
2-0-123 MidiPresetIdentity[deviceMode=null, bankName=$200, name=Horse-Gallop, category=null]
2-0-124 MidiPresetIdentity[deviceMode=null, bankName=$200, name=DoorCreaking, category=null]
2-0-125 MidiPresetIdentity[deviceMode=null, bankName=$200, name=Car-Stop, category=null]
2-0-126 MidiPresetIdentity[deviceMode=null, bankName=$200, name=Screaming, category=null]
2-0-127 MidiPresetIdentity[deviceMode=null, bankName=$200, name=Lasergun, category=null]
3-0-35 MidiPresetIdentity[deviceMode=null, bankName=$300, name=Fretless Bs4, category=null]
3-0-39 MidiPresetIdentity[deviceMode=null, bankName=$300, name=Seq Bass, category=null]
3-0-80 MidiPresetIdentity[deviceMode=null, bankName=$300, name=Mello FM, category=null]
3-0-81 MidiPresetIdentity[deviceMode=null, bankName=$300, name=Feline GR, category=null]
3-0-89 MidiPresetIdentity[deviceMode=null, bankName=$300, name=Rotary Stng, category=null]
3-0-98 MidiPresetIdentity[deviceMode=null, bankName=$300, name=Round Glock, category=null]
3-0-99 MidiPresetIdentity[deviceMode=null, bankName=$300, name=Harpvox, category=null]
3-0-102 MidiPresetIdentity[deviceMode=null, bankName=$300, name=Echo Pan 2, category=null]
3-0-120 MidiPresetIdentity[deviceMode=null, bankName=$300, name=Gt.CutNoise2, category=null]
3-0-122 MidiPresetIdentity[deviceMode=null, bankName=$300, name=Wind, category=null]
3-0-123 MidiPresetIdentity[deviceMode=null, bankName=$300, name=Bird 2, category=null]
3-0-124 MidiPresetIdentity[deviceMode=null, bankName=$300, name=Door, category=null]
3-0-125 MidiPresetIdentity[deviceMode=null, bankName=$300, name=Car-Pass, category=null]
3-0-126 MidiPresetIdentity[deviceMode=null, bankName=$300, name=Punch, category=null]
3-0-127 MidiPresetIdentity[deviceMode=null, bankName=$300, name=Explosion, category=null]
4-0-35 MidiPresetIdentity[deviceMode=null, bankName=$400, name=Syn Fretless, category=null]
4-0-80 MidiPresetIdentity[deviceMode=null, bankName=$400, name=CC Solo, category=null]
4-0-81 MidiPresetIdentity[deviceMode=null, bankName=$400, name=Big Lead, category=null]
4-0-89 MidiPresetIdentity[deviceMode=null, bankName=$400, name=Soft Pad, category=null]
4-0-98 MidiPresetIdentity[deviceMode=null, bankName=$400, name=Loud Glock, category=null]
4-0-99 MidiPresetIdentity[deviceMode=null, bankName=$400, name=HollowReleas, category=null]
4-0-102 MidiPresetIdentity[deviceMode=null, bankName=$400, name=Big Panner, category=null]
4-0-120 MidiPresetIdentity[deviceMode=null, bankName=$400, name=Dist.CutNoiz, category=null]
4-0-122 MidiPresetIdentity[deviceMode=null, bankName=$400, name=Stream, category=null]
4-0-123 MidiPresetIdentity[deviceMode=null, bankName=$400, name=Kitty, category=null]
4-0-124 MidiPresetIdentity[deviceMode=null, bankName=$400, name=Scratch, category=null]
4-0-125 MidiPresetIdentity[deviceMode=null, bankName=$400, name=Car-Crash, category=null]
4-0-126 MidiPresetIdentity[deviceMode=null, bankName=$400, name=Heart Beat, category=null]
5-0-35 MidiPresetIdentity[deviceMode=null, bankName=$500, name=Mr.Smooth, category=null]
5-0-80 MidiPresetIdentity[deviceMode=null, bankName=$500, name=Shmoog, category=null]
5-0-81 MidiPresetIdentity[deviceMode=null, bankName=$500, name=Velo Lead, category=null]
5-0-98 MidiPresetIdentity[deviceMode=null, bankName=$500, name=GlockenChime, category=null]
5-0-99 MidiPresetIdentity[deviceMode=null, bankName=$500, name=Nylon+Rhodes, category=null]
5-0-102 MidiPresetIdentity[deviceMode=null, bankName=$500, name=Reso Panner, category=null]
5-0-120 MidiPresetIdentity[deviceMode=null, bankName=$500, name=Bass Slide, category=null]
5-0-122 MidiPresetIdentity[deviceMode=null, bankName=$500, name=Bubble, category=null]
5-0-123 MidiPresetIdentity[deviceMode=null, bankName=$500, name=Growl, category=null]
5-0-124 MidiPresetIdentity[deviceMode=null, bankName=$500, name=Wind Chimes, category=null]
5-0-125 MidiPresetIdentity[deviceMode=null, bankName=$500, name=Siren, category=null]
5-0-126 MidiPresetIdentity[deviceMode=null, bankName=$500, name=Footsteps, category=null]
6-0-80 MidiPresetIdentity[deviceMode=null, bankName=$600, name=LM Square, category=null]
6-0-81 MidiPresetIdentity[deviceMode=null, bankName=$600, name=GR-300, category=null]
6-0-98 MidiPresetIdentity[deviceMode=null, bankName=$600, name=Clear Bells, category=null]
6-0-99 MidiPresetIdentity[deviceMode=null, bankName=$600, name=Ambient Pad, category=null]
6-0-102 MidiPresetIdentity[deviceMode=null, bankName=$600, name=Water Piano, category=null]
6-0-120 MidiPresetIdentity[deviceMode=null, bankName=$600, name=Pick Scrape, category=null]
6-0-125 MidiPresetIdentity[deviceMode=null, bankName=$600, name=Train, category=null]
6-0-126 MidiPresetIdentity[deviceMode=null, bankName=$600, name=Applause 2, category=null]
7-0-81 MidiPresetIdentity[deviceMode=null, bankName=$700, name=LA Saw, category=null]
7-0-98 MidiPresetIdentity[deviceMode=null, bankName=$700, name=ChrismasBel, category=null]
7-0-124 MidiPresetIdentity[deviceMode=null, bankName=$700, name=Scratch 2, category=null]
7-0-125 MidiPresetIdentity[deviceMode=null, bankName=$700, name=Jetplane, category=null]
8-0-0 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Piano 1w, category=null]
8-0-1 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Piano 2w, category=null]
8-0-2 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Piano 3w, category=null]
8-0-3 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Old Upright, category=null]
8-0-4 MidiPresetIdentity[deviceMode=null, bankName=$800, name=St.Soft EP, category=null]
8-0-5 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Detuned EP 2, category=null]
8-0-6 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Coupled Hps., category=null]
8-0-11 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Vib.w, category=null]
8-0-12 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Marimba w, category=null]
8-0-14 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Church Bell, category=null]
8-0-15 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Cimbalom, category=null]
8-0-16 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Detuned Or.1, category=null]
8-0-17 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Detuned Or.2, category=null]
8-0-18 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Rotary Org., category=null]
8-0-19 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Church Org.2, category=null]
8-0-21 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Accordion It, category=null]
8-0-24 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Ukulele, category=null]
8-0-25 MidiPresetIdentity[deviceMode=null, bankName=$800, name=12-str.Gt, category=null]
8-0-26 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Pedal Steel, category=null]
8-0-27 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Chorus Gt., category=null]
8-0-28 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Funk Pop, category=null]
8-0-30 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Feedback Gt., category=null]
8-0-31 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Gt. Feedback, category=null]
8-0-34 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Mute PickBs., category=null]
8-0-36 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Reso Slap, category=null]
8-0-38 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Acid Bass, category=null]
8-0-39 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Beef FM Bass, category=null]
8-0-40 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Slow Violin, category=null]
8-0-44 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Slow Tremolo, category=null]
8-0-48 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Orchestra, category=null]
8-0-49 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Legato Str., category=null]
8-0-50 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Syn.Strings3, category=null]
8-0-52 MidiPresetIdentity[deviceMode=null, bankName=$800, name=St.Choir, category=null]
8-0-54 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Syn.Voice, category=null]
8-0-55 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Impact Hit, category=null]
8-0-56 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Flugel Horn, category=null]
8-0-60 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Fr.Horn Solo, category=null]
8-0-61 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Brass 2, category=null]
8-0-62 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Synth Brass3, category=null]
8-0-63 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Synth Brass4, category=null]
8-0-65 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Hyper Alto, category=null]
8-0-66 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Breathy Tenor, category=null]
8-0-71 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Bs Clarinet, category=null]
8-0-75 MidiPresetIdentity[deviceMode=null, bankName=$800, name=Kawala, category=null]
